Date,Laptops,LCDs,LEDs,PCs,Mouses,Keyboards,GPUs,Speakers,Microphones,Cables
01/07/24,17,28,29,15,11,20,46,18,25,0
02/07/24,0,5,44,30,9,45,19,10,33,5
03/07/24,29,42,19,45,39,35,2,16,45,25
04/07/24,24,11,35,45,27,15,17,3,22,0
05/07/24,21,49,0,41,11,26,12,20,17,48
06/07/24,24,49,16,28,43,10,49,42,1,42
07/07/24,35,1,29,5,14,2,26,14,31,43
08/07/24,49,34,17,29,38,6,11,46,32,49
09/07/24,43,47,8,44,5,49,1,21,11,15
10/07/24,10,20,24,43,39,25,2,25,22,42
11/07/24,5,6,21,29,14,27,47,2,38,39
12/07/24,0,20,47,21,31,32,23,35,23,36
13/07/24,24,42,27,22,11,39,19,42,43,15
14/07/24,27,28,4,11,38,43,42,12,17,36
15/07/24,16,5,27,40,29,43,34,21,16,45
16/07/24,5,2,22,20,38,9,17,30,17,26
17/07/24,40,31,15,27,31,45,15,47,25,41
18/07/24,49,42,14,13,41,26,19,46,39,36
19/07/24,11,8,45,23,26,34,44,37,41,11
20/07/24,49,4,28,9,37,0,18,38,9,26
21/07/24,7,27,42,20,33,1,5,12,42,1
22/07/24,0,37,24,30,16,49,37,18,49,11
23/07/24,13,43,31,8,46,35,43,43,35,27
24/07/24,45,33,42,10,45,31,5,21,38,26
25/07/24,30,15,38,25,34,7,38,15,42,5
26/07/24,18,18,0,40,11,0,44,3,28,28
27/07/24,48,24,5,8,40,49,37,18,3,34
28/07/24,5,18,22,35,3,41,14,3,48,11
29/07/24,9,3,25,17,27,23,28,4,32,23
30/07/24,20,11,29,41,35,30,32,13,27,36
31/07/24,21,30,33,36,26,47,15,16,29,19
